IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
104.19.195.45,4,4,0.00,105.24,3.52,SJC
104.16.195.61,4,4,0.00,109.52,3.45,SJC
104.19.153.11,4,4,0.00,106.29,3.00,SJC
104.19.204.139,4,4,0.00,107.29,2.99,SJC
104.16.193.243,4,4,0.00,109.56,2.93,SJC
104.19.161.220,4,4,0.00,105.37,2.81,SJC
104.19.169.29,4,4,0.00,106.73,2.75,SJC
104.19.205.117,4,4,0.00,105.22,2.74,SJC
104.19.200.200,4,4,0.00,105.22,2.50,SJC
104.19.159.8,4,4,0.00,109.85,2.46,SJC
